,label,text
0,108,can you walk me through setting up direct deposits to my bank of internet savings account
1,108,i want to switch to direct deposit
2,108,set up direct deposit for me
3,108,how do i go about setting up direct deposit
4,108,i need to get my paycheck direct deposited to my chase account
5,108,what are the steps to set up direct deposit to my chase account
6,108,"if i would like to set up direct deposit, how do i do it"
7,108,how do i direct deposit my check
8,108,what do i need to set up direct deposit
9,108,i'd like to have my paycheck direct deposited to my chase account
10,108,how is a direct deposit set up
11,108,"can you teach me how to set up direct deposit, or show me who can"
12,108,how can i turn on direct deposit
13,108,direct deposit information
14,108,i want to set up direct deposit to my first hawaiian bank account
15,108,can you tell me how to set up a direct deposit
16,108,i'd like to know about setting up direct deposit
17,108,tell me how to set up direct deposit
18,108,tell me how to set up direct deposit for my paycheck
19,108,help setting up direct deposit
20,108,please help me set up direct deposit
21,108,how can i have my paycheck directly deposited
22,108,what do i do to have my paycheck deposited directly in my account
23,108,how do i get direct deposit set up
24,108,make it so my paycheck goes directly into my savings account
25,108,"i want to set up direct deposit for my paycheck, what do i need to do"
26,108,what is needed for setting up direct deposit
27,108,set up a direct deposit
28,108,tell me how to set up a direct deposit
29,108,how do i set up direct deposit for my paycheck
30,108,i need some guidance when it comes to direct deposit
31,108,how do i set up instant paycheck
32,108,i'd really like to set up a direct deposit for my paycheck
33,108,how do i set up direct deposit to my chase account
34,108,would you help me set up direct deposit
35,108,how do i arrange a direct deposit into my savings account
36,108,i need to set up a direct deposit for my paycheck
37,108,i need to set up a direct deposit
38,108,how do i get my check directly deposited
39,108,how can i have my paycheck directly deposited in my account
40,108,how do i direct deposit my paycheck
41,108,is there a specific way to set up direct deposit
42,108,set up direct deposit to my money market account for my pay check
43,108,can you tell me how to set up direct depost
44,108,can you show me how to set up direct deposit for my paycheck to my first hawaiian bank account
45,108,how can i set up direct deposits from my job to my bank
46,108,i have a great western bank account i want direct deposits to go to
47,108,can you show me how to set up direct deposit
48,108,do a websearch for direct deposit set up
49,108,what are the steps for setting up direct deposit
50,62,what am i allowed to carry on for american airlines
51,62,what are the carry on rules for united
52,62,what can't i carry-on to delta
53,62,tell me united's carry on policy
54,62,what is the carry on limit
55,62,what should i know about the carry on policy for american
56,62,"if i fly internationally, do brittish airwaiys have carry-on limitations"
57,62,what are the rules for carry on luggage for delta
58,62,can i have 3 carry ons with delta at jfk
59,62,how many carry ons are allowed on a flight with wow to iceland
60,62,what are the requirements for carry on on flights with united airlines
61,62,does delta allow more than one carry on when traveling to miami
62,62,could you list out the carry-on restrictions for american airlines
63,62,do i have to pay for carry-ons on delta
64,62,"if i take a flight on pan am to denver, how many carry ons are included"
65,62,how many bags can i carry-on for flights on singapore airlines
66,62,how many carry ons can i take on a flight with american airlines to seattle
67,62,"when taking a flight with porter to toronto, how many carry ons can i take"
68,62,"on a flight with allegiant to orlando, how many carry ons can i take"
69,62,would you let me know the carry-on restrictions for american airlines
70,62,how many carry ons can i take on a flight with delta to mexico city
71,62,what are the carry-on rules
72,62,"when taking a flight with lion to singapore, how many carry ons are allowed"
73,62,what are the rules regarding carry-on baggage for flights on virgin airlines
74,62,what's restricted in my carry-on with united
75,62,does jet blue have any carry-on restrictions
76,62,i need to know the carry-on restrictions for united airlines
77,62,how many carry ons will american let me take for a flight to los vegas
78,62,does delta have carry-on restrictions
79,62,how many carry ons can i take on a flight with jet blue to washington dc
80,62,what are the carry-on restrictions for singapore airlines
81,62,tell me the carry on rules
82,62,i am flying jetblue and need to know what the most number of bags are that i can carry on
83,62,am i limited in carry ons for jet blue
84,62,am i allowed carry ons for my flight with westjet to edmonton
85,62,what are the carry-on restrictions for united
86,62,does united airlines allow more than one carry on
87,62,what are the carry-on restrictions for delta
88,62,would you let me know how many carry ons i can take on a flight with southwest airlines to miami
89,62,is there a carry on weight limit
90,62,please find the rules for carry on when flying with spirit airlines
91,62,what are the carry-on restrictions for southwest airlines
92,62,how my carry ons does spirit airlines allow me for a flight to dallas
93,62,can you tell me jet blue airlines' carry on policy
94,62,what is the carry-on policy say for flights on delta airlines
95,62,search for carry on rules for flights on delta airlines
96,62,carry-on restrictions for air emirates
97,62,which rules does delta have for carry on
98,62,tell me the carry-on restrictions for united airlines
99,62,let me know the rules for carry ons for continental
100,14,volume to whisper voice
101,14,i want whisper mode to be switched off
102,14,let's switch out of whisper mode
103,14,i want your setting adjusted to whisper voice now
104,14,go into whisper mode now please
105,14,turn up your volume
106,14,exit out of whisper mode
107,14,go back to normal mode please
108,14,immediately begin using whisper mode
109,14,switch over to whisper
110,14,i think we should whisper
111,14,turn on the whisper voice
112,14,i'm going to need you to be quiet now please
113,14,switch to quiet mode
114,14,please turn on whisper mode because i am about to be in class
115,14,i want whisper mode
116,14,"change to whisper mode, please"
117,14,go into whisper mode now
118,14,turn your volume up
119,14,"i can't hear you, stop whispering!"
120,14,shh please speak with a whisper
121,14,can you whisper until i tell you not to
122,14,i need you to switch to whisper mode
123,14,please turn on whisper mode
124,14,can you go to the whisper voice
125,14,i need your setting switched to whisper mode right away
126,14,stop using the whisper mode
127,14,please talk quietly
128,14,use your quiet voice
129,14,whisper from here on out please
130,14,switch to whisper mode
131,14,turn on your whisper mode
132,14,please shut off whisper mode for now
133,14,can you please lower the volume please
134,14,"switch to whisper mode, please"
135,14,i want to switch out of whisper mode
136,14,i want you to be in whisper mode now because i am in the library
137,14,change out of whisper mode
138,14,whisper from now on
139,14,please speak with the whisper voice
140,14,start using whisper mode
141,14,please switch to whisper mode for now
142,14,let's use whisper voice
143,14,6 inch voices please
144,14,talk in whisper voice
145,14,i decide to switch out of whisper mode
146,14,let's start whispering
147,14,can you switch to whisper mode
148,14,make sure to set yourself to whisper mode before i go to the movie
149,14,i want you to use whisper voice now
150,26,please send a text
151,26,write text message to someone
152,26,send mom a text asking where are you
153,26,text message chris and say i love you
154,26,send a text to someone
155,26,can you text arthur and tell them im almost there
156,26,text billy and tell him to be at monday's meeting at 3pm
157,26,can you text christopher and tell them im on my way
158,26,send a text message for me
159,26,please send ann a text and tell her i will be home in 20 minutes
160,26,please send a text message to natalie for me
161,26,i want to send a text
162,26,text matt and tell him i will be late tonight
163,26,text my boss for me and tell them i will be a little bit late
164,26,send chris a text message that says stop for milk on your way home
165,26,i have to send a text
166,26,text my dad for me and tell them i love you
167,26,text josh and tell him i need a delivery
168,26,send a text and tell chris i’m not working today
169,26,can you send a text for me
170,26,text my friend for me and tell them to meet me later
171,26,text christopher and tell him i will stop by
172,26,can you text the sgt adam and tell them i found the missing girl
173,26,text a message to alice
174,26,i need you to text someone for me
175,26,i need sal to be texted and say i'll be there
176,26,send a text message to chris and ask what he wants to eat for dinner
177,26,send a text message
178,26,text sal and tell them hi
179,26,text sal and let them know the answer is yes
180,26,compose text message
181,26,text my doctor and tell him it happened again
182,26,write a text to alice
183,26,can you send a text to someone
184,26,let sal know by text i will be attending
185,26,start a new text to maureen and tell her i go mom's christmas present
186,26,create a new text
187,26,text bill and tell him i'll be 30 minutes late
188,26,create a text message to
189,26,set up a new text message
190,26,give a text to my cousin linda that says happy birthday
191,26,text my mom for me and tell them i will be home soon
192,26,text tony and invite him to my party next saturday
193,26,text chris and ask what time he will be home
194,26,text christy and ask her what she wants for dinner
195,26,i have to have a text sent
